ALERTSCounter,CRAMERFLAGS,Error when applying the decision tree,For a better assessment a QSAR calculation could be applied.,Negative for genotoxic carcinogenicity,Negative for nongenotoxic carcinogenicity,Potential S. typhimurium TA100 mutagen based on QSAR,Potential carcinogen based on QSAR,QSAR13 applicable?,"QSAR6,8 applicable?",SA10_gen,SA11_gen,SA12_gen,SA13_gen,SA14_gen,SA15_gen,SA16_gen,SA17_nogen,SA18_gen,SA19_gen,SA1_gen,SA20_nogen,SA21_gen,SA22_gen,SA23_gen,SA24_gen,SA25_gen,SA26_gen,SA27_gen,SA28_gen,SA28bis_gen,SA28ter_gen,SA29_gen,SA2_gen,SA30_gen,SA31a_nogen,SA31b_nogen,SA31c_nogen,SA37_gen,SA38_gen,SA39_gen_and_nogen,SA3_gen,SA40_nogen,SA41_nogen,SA42_nogen,SA43_nogen,SA44_nogen,SA45_nogen,SA46_nogen,SA47_nogen,SA48_nogen,SA49_nogen,SA4_gen,SA50_nogen,SA51_nogen,SA52_nogen,SA53_nogen,SA54_nogen,SA55_nogen,SA56_nogen,SA5_gen,SA6_gen,SA7_gen,SA8_gen,SA9_gen,Structural Alert for genotoxic carcinogenicity,Structural Alert for nongenotoxic carcinogenicity,Unlikely to be a S. typhimurium TA100 mutagen based on QSAR,Unlikely to be a carcinogen based on QSAR,aN=Na,ar-N=CH2,cdk:Title,mutant.rules.MutantTreeResult#explanation,SMILES
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C1([H])=C([H])C2=C(C([H])=C1[H])N([H])N=C([H])C([H])=C2[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])(C([H])([H])OP(=O)([O-])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(C(=O)O[H])N([H])[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(C([H])([H])O[H])O[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C1([H])=C([H])C2=C(C([H])=C1[H])SC(=N2)SSC3=NC4=C(C([H])=C([H])C([H])=C4[H])S3
1.0000e+00,,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenY,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?Y",C1([H])=C([H])C2=C(C([H])=C1[H])SC(=S)N2[H]
0.0000e+00,,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?Y,Proceed with QSAR6 and QSAR8?Y,QSAR8N,QSAR6N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C1=C([H])C([H])=C(C([H])=C1[H])N([H])C2=C([H])C([H])=C([H])C([H])=C2[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(O1)OP(=O)(O[H])OP(=O)(O[H])O[H])O[H])O[H])OP(=O)(O[H])O[H]
0.0000e+00,,NO,NO,NO,YES,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genY,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?Y,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C1([H])=C([H])[C@@]([H])(C([H])([H])[C@]1([H])C([H])([H])O[H])N2C([H])=NC3=C2N=C(N([H])[H])N=C3N([H])C4([H])C([H])([H])C4([H])[H]
0.0000e+00,,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,",SA1_genN,SA2_genN,SA3_genN,SA4_genN,SA5_genN,SA6_genN,SA7_genN,SA8_genN,SA9_genN,SA11_genN,SA12_genN,SA13_genN,SA14_genN,SA15_genN,SA16_genN,SA18_genN,SA19_genN,SA21_genN,SA22_genN,SA23_genN,SA24_genN,SA25_genN,SA26_genN,SA27_genN,SA28_genN,SA28bis_genN,SA28ter_genN,SA29_genN,SA30_genN,SA37_genN,SA38_genN,SA39_gen_and_nogenN,Genotoxic alert?N,QSAR13 applicable?N,SA10_genN,aN=NaN,ar-N=CH2N,QSAR6,8 applicable?N,SA17_nogenN,SA20_nogenN,SA31a_nogenN,SA31b_nogenN,SA31c_nogenN,SA39_gen_and_nogenN,SA40_nogenN,SA41_nogenN,SA42_nogenN,SA43_nogenN,SA44_nogenN,SA45_nogenN,SA46_nogenN,SA47_nogenN,SA48_nogenN,SA49_nogenN,SA50_nogenN,SA51_nogenN,SA52_nogenN,SA53_nogenN,SA54_nogenN,SA55_nogenN,SA56_nogenN,Nongenotoxic alert?N",C([H])([H])([H])C1=C([H])N=C(C([H])=C1[H])C2=C([H])C([H])=C(C([H])([H])[H])C([H])=N2
