CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C1([H])=C([H])C2=C(C([H])=C1[H])N([H])N=C([H])C([H])=C2[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])(C([H])([H])OP(=O)([O-])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(C(=O)O[H])N([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])(C([H])([H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C2=C(C([H])=C1[H])SC(=N2)SSC3=NC4=C(C([H])=C([H])C([H])=C4[H])S3
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C2=C(C([H])=C1[H])SC(=S)N2[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C1=C([H])C([H])=C(C([H])=C1[H])N([H])C2=C([H])C([H])=C([H])C([H])=C2[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(O1)OP(=O)(O[H])OP(=O)(O[H])O[H])O[H])O[H])OP(=O)(O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])[C@@]([H])(C([H])([H])[C@]1([H])C([H])([H])O[H])N2C([H])=NC3=C2N=C(N([H])[H])N=C3N([H])C4([H])C([H])([H])C4([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])N=C(C([H])=C1[H])C2=C([H])C([H])=C(C([H])([H])[H])C([H])=N2
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@]([H])(C([H])([H])[H])C(=O)N([H])[H])N([H])C(=O)[C@@]([H])(C([H])([H])C(=O)N([H])[H])N([H])C(=O)[C@]([H])(C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])O[H])N(C([H])([H])[H])C(=O)[C@]([H])(C([H])([H])O[H])N([H])C(=O)[C@@]([H])(C([H])([H])C3=C([H])C([H])=C([H])N=C3[H])N([H])C(=O)[C@@]([H])(C([H])([H])C4=C([H])C([H])=C(C([H])=C4[H])Cl)N([H])C(=O)[C@@]([H])(C([H])([H])C5=C([H])C6=C(C([H])=C([H])C([H])=C6[H])C([H])=C5[H])N([H])C(=O)C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])C2=C([H])C([H])=C(N=C2[H])N([H])C3=NC([H])=C(C(=N3)C4=C([H])C5=C(C(=C4[H])F)N=C(C([H])([H])[H])N5C([H])(C([H])([H])[H])C([H])([H])[H])F
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12Y,13Y,14N,22N,33N",C([H])([H])([H])[C@@]12C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])=C(C5=C([H])N=C([H])C([H])=C5[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]31[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C([H])([H])S(=O)(=O)N([H])[C@@]1([H])C([H])([H])[C@]([H])(C1([H])[H])N(C([H])([H])[H])C2=C3C([H])=C([H])N([H])C3=NC([H])=N2
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C#CC(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C2=NC(=C3C(=NC([H])=C([H])N32)N([H])[H])C4=C([H])C([H])=C(C([H])=C4[H])C(=O)N([H])C5=NC([H])=C([H])C([H])=C5[H]
,Low (Class I),,"1N,2N,3Y,4Y(7N,16N,17N,19Y,20N,22N,33Y)",C([H])([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@]1([H])[C@]([H])([C@@]([H])([C@]([H])([C@]([H])(O1)O[C@]2([H])[C@@]([H])(C([H])([H])O[H])O[C@@]([H])([C@@]([H])([C@@]2([H])O[H])O[H])O[C@]([H])([C@@]([H])(C([H])([H])O[H])O[H])[C@@]([H])([C@]([H])(C([H])=O)O[H])O[H])O[H])O[H])N([H])[C@@]3([H])C([H])=C(C([H])([H])O[H])[C@]([H])([C@@]([H])([C@@]3([H])O[H])O[H])O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])([H])C([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C(=C1[H])C(=O)C([H])([H])[H])OC([H])([H])C([H])(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C(=O)OC1([H])C([H])([H])N2C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])=C1[H])N([H])C2=C(C([H])=C([H])C([H])=C2Cl)Cl)C([H])([H])C(=O)OC([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])([H])C(=O)OC([H])([H])C(=O)O[H])C2=C(C([H])=C([H])C(=C2[H])OC([H])([H])[H])N1C(=O)C3=C([H])C([H])=C(C([H])=C3[H])Cl
,High (Class III),,"1N,2Y",C([H])([H])([H])C(=O)C([H])([H])C([H])(C1=C([H])C([H])=C(C([H])=C1[H])[N+](=O)[O-])C2=C(C3=C(C([H])=C([H])C([H])=C3[H])OC2=O)O[H]
